id_reve,pseudo_reveur,date,heure,titre,recit,cauchemard,lucide,nb_personnages,action,emotion
001,RêveurOptimiste,2018-09-25,08:30,"Les Ailes de la Liberté","J'ai rêvé que je pouvais voler au-dessus de paysages magnifiques, ressentant une incroyable liberté.",FALSE,TRUE,0,"Survoler","Joie"
002,StormChaserDreamer,2019-05-12,06:45,"Le Secret de l'Horloge","Mon rêve était peuplé d'énigmes et de mystères. J'ai exploré un vieux manoir et découvert une horloge étrange.",FALSE,FALSE,3,"Résoudre","Curiosité"
003,BraveHeartDreamer,2021-08-03,05:15,"Échapper à l'Ombre","J'ai rêvé d'une ombre menaçante me poursuivant, mais j'ai réussi à m'échapper juste à temps.",TRUE,TRUE,1,"Courir","Peur, Soulagement"
004,DreamExplorer23,2005-11-18,10:00,"Voyage Interstellaire","Mon rêve m'a transporté dans l'espace, explorant des galaxies lointaines et découvrant des planètes étranges.",FALSE,TRUE,0,"Explorer","Émerveillement"
005,ShadowWalker,2012-04-30,07:20,"Le Monde des Ombres","Un rêve étrange où j'ai exploré un monde parallèle rempli d'ombres mystérieuses et de créatures fantomatiques.",TRUE,FALSE,2,"Naviguer","Mystère, Intrigue"
006,SunnyDreamer,2010-06-21,09:45,"Île Paradisiaque","J'ai rêvé d'une île paradisiaque avec des plages de sable blanc, des palmiers et une mer turquoise, un endroit paisible et ensoleillé.",FALSE,TRUE,0,"Se détendre","Sérénité"
007,TimeTravelerDream,2017-03-09,11:10,"Voyage dans le Temps","Mon rêve m'a permis de voyager à différentes époques, de l'ancienne Rome à un futur lointain rempli de technologies avancées.",FALSE,TRUE,1,"Explorer","Émerveillement, Curiosité"
008,MysticDreamer,2019-12-05,08:55,"Rencontre avec des Créatures Magiques","Un rêve magique où j'ai rencontré des créatures fantastiques telles que des licornes, des dragons et des fées.",FALSE,FALSE,4,"Interagir","Émerveillement, Joie"
009,StardustDancer,2003-07-30,06:30,"Voyage Quantique","J'ai rêvé de voyager à travers des dimensions parallèles et d'explorer des réalités quantiques fascinantes.",FALSE,TRUE,0,"Naviguer","Émerveillement, Intrigue"
010,StarryNightDreamer,2007-10-14,10:20,"Nuit Étoilée","Mon rêve était une nuit étoilée magnifique, avec le ciel parsemé d'étoiles scintillantes et une aurore boréale dansante.",FALSE,FALSE,0,"Contempler","Émerveillement, Calme"
011,DreamWeaver,2000-02-18,06:15,"Tissage de Rêves","J'ai rêvé d'être un tisseur de rêves, créant des scénarios fantastiques pour les autres.",FALSE,TRUE,0,"Tisser","Créativité, Empathie"
012,StormChaserDreamer,2011-09-02,09:00,"Chasseur de Tempêtes","Mon rêve m'a transporté au cœur d'une tempête impressionnante que j'ai appris à apprivoiser.",FALSE,TRUE,1,"Chasser","Excitation, Maîtrise"
013,LostInLabyrinth,2004-12-07,08:45,"Perdu dans un Labyrinthe","Un rêve déroutant où je me suis retrouvé perdu dans un labyrinthe mystérieux.",TRUE,FALSE,2,"Naviguer","Confusion, Désorientation"
014,SongbirdDreamer,2019-08-23,10:40,"Mélodie Enchantée","J'ai rêvé d'un monde où chaque action était accompagnée d'une mélodie enchanteresse.",FALSE,TRUE,3,"Créer","Joie, Enchantement"
015,FirewalkerDream,2015-11-30,07:55,"Marcheur sur le Feu","Un rêve où je marchais pieds nus sur des braises ardentes, ressentant la chaleur sans douleur.",FALSE,TRUE,0,"Marcher","Détermination, Courage"
016,MirrorMirrorDream,2002-06-13,05:50,"Reflet dans le Miroir","J'ai rêvé que mon reflet dans le miroir prenait vie et me parlait, révélant des vérités cachées.",FALSE,TRUE,1,"Communiquer","Étonnement, Révélation"
017,SkyDiverDream,2008-09-05,09:35,"Saut en Parachute Céleste","Mon rêve m'a propulsé dans le ciel, et j'ai sauté en parachute parmi les nuages.",FALSE,TRUE,0,"Sauter","Excitation, Liberté"
018,DeepSeaExplorer,2013-02-20,06:05,"Explorateur des Profondeurs Marines","Un rêve sous-marin où j'ai exploré les mystères des profondeurs océaniques.",FALSE,TRUE,2,"Plonger","Émerveillement, Aventure"
019,StardustDancer,2014-07-11,10:10,"Rencontre Extraterrestre","J'ai rêvé d'une rencontre amicale avec des extraterrestres, échangeant des idées.",FALSE,TRUE,3,"Plonger","Émerveillement, Aventure"
020,TimelessTraveler,2010-03-15,11:45,"Voyage à travers le Temps","J'ai rêvé que je pouvais voyager à travers différentes époques, changeant le cours de l'histoire.",FALSE,TRUE,1,"Voyager","Émerveillement, Aventure"
021,StarshipCommander,2019-07-02,08:20,"Commandant de Navire Spatial","Mon rêve m'a propulsé aux commandes d'un vaisseau spatial, explorant des galaxies inconnues.",FALSE,TRUE,4,"Commander","Excitation, Exploration"
022,RêveurOptimiste,2008-11-28,06:55,"Jardinier Surréaliste","Un rêve où je cultivais un jardin rempli de plantes aux couleurs impossibles et de fleurs qui chantaient.",FALSE,TRUE,0,"Cultiver","Émerveillement, Créativité"
023,InfiniteChessMaster,2015-09-10,09:10,"Maître d'Échecs Infini","J'ai rêvé de jouer aux échecs dans un univers infini où chaque pièce avait des mouvements uniques.",FALSE,TRUE,1,"Jouer","Stratégie, Réflexion"
024,ChroFALSEomad,2006-04-17,07:30,"Explorateur des Mondes Parallèles","Mon rêve m'a conduit à explorer des réalités alternatives et à rencontrer des versions différentes de moi-même.",FALSE,TRUE,2,"Explorer","Émerveillement, Intrigue"
025,DragonRider,2014-10-05,10:40,"Cavalier de Dragon","Un rêve épiquement fantastique où je chevauchais un dragon majestueux à travers des cieux flamboyants.",FALSE,TRUE,0,"Chevaucher","Émerveillement, Aventure"
026,WhisperingWoodsDream,2003-12-22,05:25,"Forêt des Chuchotements","J'ai rêvé d'une forêt mystique où les arbres chuchotaient des secrets millénaires.",FALSE,TRUE,0,"Écouter","Mystère, Sérénité"
027,AstralNomad,2016-06-14,08:15,"Nomade Astral","Un rêve astral où j'ai voyagé hors de mon corps, explorant des dimensions invisibles et mystiques.",FALSE,TRUE,1,"Voyager","Émerveillement, Exploration"
028,SolarSculptor,2011-02-08,07:50,"Sculpteur Solaire","J'ai rêvé de sculpter des formes lumineuses à partir des rayons du soleil, créant des œuvres éphémères.",FALSE,TRUE,0,"Sculpter","Créativité, Émerveillement"
029,ChroFALSEomad,2007-09-19,10:20,"Défieur de Gravité","Un rêve où je pouvais défier la gravité, marchant sur les murs et plongeant dans les airs avec aisance.",FALSE,TRUE,0,"Défier","Excitation, Liberté"
030,StardustDancer,2002-05-30,08:40,"Ver de Livre Enchanté","J'ai rêvé d'être un ver de livre explorant des mondes magiques à l'intérieur d'histoires fantastiques.",FALSE,TRUE,0,"Explorer","Fantaisie, Aventure"
